year,fdoy,fit_flag,proton_bulk_speed_km_s,proton_thermal_speed_km_s,proton_density_cm3,proton_vx_gse_km_s,proton_vy_gse_km_s,proton_vz_gse_km_s,v_R_km_s,v_T_km_s,v_N_km_s,proton_temperature_K
2025,1.115667,10,465.500,50.500,19.7490,-464.600,25.100,16.100,464.600,-25.100,16.100,1.545e+05
2025,1.131964,10,463.500,40.800,20.3540,-462.400,19.400,24.400,462.400,-19.400,24.400,1.008e+05
2025,1.134292,10,463.100,44.900,29.2220,-462.000,23.700,21.200,462.000,-23.700,21.200,1.221e+05
2025,1.145860,10,483.700,44.400,20.3660,-483.500,8.800,-7.700,483.500,-8.800,-7.700,1.194e+05
2025,1.172596,10,486.200,51.600,36.9210,-484.600,37.100,-13.200,484.600,-37.100,-13.200,1.613e+05
2025,1.174924,10,483.600,52.900,37.2960,-481.900,40.300,-5.600,481.900,-40.300,-5.600,1.695e+05
2025,1.181908,10,489.700,50.500,35.4140,-489.000,23.300,-11.600,489.000,-23.300,-11.600,1.545e+05
2025,1.207408,10,503.700,40.900,23.4970,-503.000,11.800,-23.800,503.000,-11.800,-23.800,1.013e+05
2025,1.250477,10,509.000,27.900,9.5350,-507.000,-8.300,-43.300,507.000,8.300,-43.300,4.715e+04
2025,1.273758,10,527.500,37.500,19.4520,-526.900,16.500,-19.700,526.900,-16.500,-19.700,8.518e+04
2025,1.379540,10,509.900,57.800,17.2160,-509.000,16.200,-26.400,509.000,-16.200,-26.400,2.024e+05
2025,1.435341,10,521.900,21.100,21.4980,-516.000,38.100,-67.900,516.000,-38.100,-67.900,2.697e+04
2025,1.436505,10,522.700,22.900,24.5330,-518.700,28.000,-58.400,518.700,-28.000,-58.400,3.177e+04
2025,1.447018,10,524.600,22.100,21.6700,-522.100,17.000,-48.500,522.100,-17.000,-48.500,2.958e+04
2025,1.453965,10,519.900,23.500,23.7030,-516.900,14.500,-53.900,516.900,-14.500,-53.900,3.345e+04
2025,1.456293,10,521.000,25.900,30.2540,-518.200,14.300,-52.700,518.200,-14.300,-52.700,4.063e+04
2025,1.459786,10,526.200,32.500,31.6900,-524.200,24.200,-39.000,524.200,-24.200,-39.000,6.398e+04
2025,1.464442,10,532.800,33.600,30.7720,-530.900,23.800,-38.400,530.900,-23.800,-38.400,6.839e+04
2025,1.465606,10,551.400,23.900,24.8800,-550.700,7.000,-26.800,550.700,-7.000,-26.800,3.460e+04
2025,1.482993,10,541.800,24.700,38.6230,-540.900,4.500,-29.400,540.900,-4.500,-29.400,3.696e+04
2025,1.486485,10,544.200,27.200,26.6320,-542.600,-3.600,-41.300,542.600,3.600,-41.300,4.481e+04
2025,1.493506,10,537.800,28.500,29.0540,-536.400,11.600,-36.800,536.400,-11.600,-36.800,4.920e+04
